Percentage served,Time in ms
0,418.335
1,446.540
2,455.113
3,464.672
4,474.770
5,480.890
6,492.432
7,507.527
8,521.479
9,537.866
10,547.454
11,559.587
12,570.165
13,580.478
14,589.739
15,598.297
16,605.354
17,613.954
18,622.457
19,629.670
20,635.830
21,642.666
22,649.026
23,655.356
24,660.224
25,665.316
26,670.861
27,676.647
28,683.684
29,689.173
30,696.317
31,702.730
32,711.873
33,718.309
34,726.071
35,735.950
36,744.547
37,752.016
38,759.231
39,767.463
40,775.435
41,782.308
42,790.499
43,797.486
44,805.618
45,813.425
46,822.224
47,833.123
48,841.147
49,849.817
50,857.704
51,868.030
52,879.353
53,886.978
54,895.505
55,905.399
56,913.966
57,925.016
58,937.222
59,948.603
60,963.602
61,979.034
62,996.709
63,1018.175
64,1039.421
65,1062.015
66,1080.025
67,1104.444
68,1140.318
69,1176.185
70,1210.756
71,1241.177
72,1278.322
73,1323.019
74,1354.250
75,1387.858
76,1438.231
77,1474.184
78,1534.640
79,1594.930
80,1639.536
81,1711.925
82,1792.036
83,1908.322
84,2022.561
85,2186.542
86,6732.849
87,7042.129
88,7291.745
89,7448.656
90,7580.328
91,7745.109
92,7921.301
93,8099.268
94,8249.847
95,8466.025
96,8640.974
97,8843.345
98,9223.778
99,9570.799
