Percentage served,Time in ms
0,162.395
1,445.340
2,455.536
3,468.296
4,475.419
5,483.758
6,493.864
7,510.271
8,521.285
9,533.932
10,546.809
11,558.704
12,568.166
13,578.210
14,588.550
15,597.191
16,604.398
17,613.788
18,622.562
19,631.118
20,636.937
21,643.888
22,649.637
23,654.808
24,660.522
25,665.398
26,670.389
27,674.893
28,679.346
29,686.041
30,692.772
31,700.520
32,707.741
33,717.460
34,725.468
35,733.104
36,740.429
37,749.860
38,759.666
39,768.061
40,774.773
41,782.419
42,790.998
43,798.312
44,806.160
45,816.293
46,825.769
47,835.301
48,843.392
49,852.716
50,863.008
51,871.869
52,879.790
53,888.589
54,897.058
55,908.120
56,918.479
57,927.507
58,939.083
59,949.404
60,961.850
61,979.078
62,997.676
63,1017.094
64,1035.167
65,1058.735
66,1075.084
67,1100.480
68,1124.816
69,1153.752
70,1186.726
71,1224.924
72,1259.968
73,1301.258
74,1333.738
75,1370.845
76,1407.547
77,1441.726
78,1499.212
79,1570.380
80,1622.378
81,1682.406
82,1760.783
83,1870.286
84,1993.744
85,2122.690
86,6551.417
87,7005.266
88,7219.726
89,7416.035
90,7590.547
91,7756.334
92,7955.365
93,8103.514
94,8255.199
95,8483.341
96,8675.270
97,8890.269
98,9228.553
99,9564.814
