Percentage served,Time in ms
0,379.313
1,846.992
2,856.575
3,870.839
4,893.049
5,908.244
6,924.787
7,934.535
8,941.032
9,951.483
10,962.628
11,988.801
12,1002.631
13,1017.911
14,1034.290
15,1048.244
16,1057.871
17,1066.758
18,1073.630
19,1083.514
20,1088.518
21,1098.287
22,1106.682
23,1121.329
24,1137.799
25,1155.363
26,1173.091
27,1195.242
28,1209.668
29,1228.161
30,1244.880
31,1264.432
32,1282.281
33,1295.036
34,1317.258
35,1346.796
36,1360.587
37,1381.911
38,1396.903
39,1414.630
40,1427.034
41,1448.459
42,1479.436
43,1494.239
44,1515.539
45,1548.881
46,1597.635
47,1621.811
48,1639.826
49,1659.393
50,1694.692
51,1720.006
52,1740.097
53,1757.317
54,1765.618
55,1784.794
56,1790.226
57,1808.756
58,1838.031
59,1862.270
60,1889.205
61,1911.610
62,1943.731
63,1975.062
64,1995.087
65,2019.917
66,2033.142
67,2052.242
68,2081.023
69,2117.336
70,2174.836
71,2224.947
72,2273.419
73,2334.517
74,2384.492
75,2418.720
76,2450.511
77,2488.417
78,2503.049
79,2547.197
80,2704.815
81,2982.295
82,3436.697
83,5431.317
84,5549.440
85,5657.820
86,5852.347
87,6069.322
88,6280.939
89,6388.312
90,6476.256
91,6573.087
92,6662.484
93,6754.987
94,6844.308
95,7014.179
96,7211.776
97,7815.775
98,8150.445
99,9330.811
