Percentage served,Time in ms
0,604.012
1,838.103
2,860.882
3,871.442
4,890.865
5,903.493
6,913.978
7,929.643
8,944.912
9,954.145
10,970.704
11,988.311
12,998.632
13,1016.802
14,1039.227
15,1050.978
16,1057.488
17,1070.400
18,1075.302
19,1082.402
20,1089.650
21,1097.208
22,1108.548
23,1126.933
24,1143.959
25,1163.790
26,1181.367
27,1196.452
28,1212.405
29,1228.546
30,1242.392
31,1257.754
32,1272.390
33,1294.135
34,1314.507
35,1324.074
36,1342.524
37,1349.383
38,1377.048
39,1387.500
40,1407.779
41,1426.189
42,1444.428
43,1470.442
44,1499.050
45,1524.642
46,1545.950
47,1569.723
48,1615.462
49,1636.020
50,1670.639
51,1706.612
52,1723.737
53,1743.420
54,1755.938
55,1772.397
56,1791.356
57,1811.059
58,1855.402
59,1885.537
60,1913.364
61,1946.705
62,1960.817
63,1996.389
64,2019.374
65,2032.166
66,2044.414
67,2071.463
68,2089.295
69,2105.476
70,2142.764
71,2185.891
72,2228.194
73,2267.150
74,2305.564
75,2338.422
76,2372.976
77,2413.689
78,2480.380
79,2519.459
80,2610.765
81,2851.122
82,3205.510
83,5501.216
84,5699.152
85,5835.898
86,5895.815
87,6070.913
88,6329.011
89,6426.425
90,6585.843
91,6670.243
92,6772.407
93,6834.668
94,6978.617
95,7173.601
96,7488.308
97,7779.472
98,8506.503
99,9199.389
